72,생각 정리 (72),일기장 프로그램을 예쁘게 꾸미고 나니 더 쓰고 싶은 마음이 든다.,2024-03-12 00:00:00
73,맛있는 점심 (73),날씨가 너무 좋아서 근처 공원을 산책했다. 기분이 상쾌해졌다.,2024-03-13 00:00:00
74,오늘의 일기 (74),MySQL 데이터베이스 연동 테스트를 성공했다. 뿌듯하다.,2024-03-14 00:00:00
75,공부 기록 (75),내일부터는 아침 일찍 일어나서 운동을 시작해 보려고 한다.,2024-03-15 00:00:00
76,피곤한 하루 (76),날씨가 너무 좋아서 근처 공원을 산책했다. 기분이 상쾌해졌다.,2024-03-16 00:00:00
77,공부 기록 (77),새로 산 책을 읽기 시작했는데 내용이 아주 흥미진진하다.,2024-03-17 00:00:00
78,날씨가 맑음 (78),새로 산 책을 읽기 시작했는데 내용이 아주 흥미진진하다.,2024-03-18 00:00:00
79,맛있는 점심 (79),새로 산 책을 읽기 시작했는데 내용이 아주 흥미진진하다.,2024-03-19 00:00:00
80,맛있는 점심 (80),오랜만에 친구를 만나서 맛있는 음식을 먹고 수다를 떨었다.,2024-03-20 00:00:00
81,산책 중 (81),커피 한 잔을 마시며 음악을 들으니 마음이 편안해진다.,2024-03-21 00:00:00
82,생각 정리 (82),날씨가 너무 좋아서 근처 공원을 산책했다. 기분이 상쾌해졌다.,2024-03-22 00:00:00
83,친구와의 만남 (83),계획했던 일들을 다 끝내지 못해서 조금 아쉽지만 내일 더 열심히 해야겠다.,2024-03-23 00:00:00
84,산책 중 (84),프로젝트 구조를 잡는 게 생각보다 어렵지만 차근차근 해보자.,2024-03-24 00:00:00
85,공부 기록 (85),오늘은 정말 보람찬 하루였다. 자바 스윙 공부를 했는데 재미있었다.,2024-03-25 00:00:00
86,친구와의 만남 (86),일기장 프로그램을 예쁘게 꾸미고 나니 더 쓰고 싶은 마음이 든다.,2024-03-26 00:00:00
87,새로운 목표 (87),오랜만에 친구를 만나서 맛있는 음식을 먹고 수다를 떨었다.,2024-03-27 00:00:00
88,공부 기록 (88),내일부터는 아침 일찍 일어나서 운동을 시작해 보려고 한다.,2024-03-28 00:00:00
89,새로운 목표 (89),MySQL 데이터베이스 연동 테스트를 성공했다. 뿌듯하다.,2024-03-29 00:00:00
90,산책 중 (90),커피 한 잔을 마시며 음악을 들으니 마음이 편안해진다.,2024-03-30 00:00:00
91,생각 정리 (91),새로 산 책을 읽기 시작했는데 내용이 아주 흥미진진하다.,2024-03-31 00:00:00
92,친구와의 만남 (92),날씨가 너무 좋아서 근처 공원을 산책했다. 기분이 상쾌해졌다.,2024-04-01 00:00:00
93,친구와의 만남 (93),내일부터는 아침 일찍 일어나서 운동을 시작해 보려고 한다.,2024-04-02 00:00:00
94,친구와의 만남 (94),새로 산 책을 읽기 시작했는데 내용이 아주 흥미진진하다.,2024-04-03 00:00:00
95,산책 중 (95),오늘은 정말 보람찬 하루였다. 자바 스윙 공부를 했는데 재미있었다.,2024-04-04 00:00:00
96,날씨가 맑음 (96),프로젝트 구조를 잡는 게 생각보다 어렵지만 차근차근 해보자.,2024-04-05 00:00:00
97,오늘의 일기 (97),일기장 프로그램을 예쁘게 꾸미고 나니 더 쓰고 싶은 마음이 든다.,2024-04-06 00:00:00
98,공부 기록 (98),커피 한 잔을 마시며 음악을 들으니 마음이 편안해진다.,2024-04-07 00:00:00
99,새로운 목표 (99),오랜만에 친구를 만나서 맛있는 음식을 먹고 수다를 떨었다.,2024-04-08 00:00:00
100,날씨가 맑음 (100),계획했던 일들을 다 끝내지 못해서 조금 아쉽지만 내일 더 열심히 해야겠다.,2024-04-09 00:00:00
